"","Turtle_ID","Latitude","Longitude","Longitude.1","Latitude.1","optional"
"1","L1R2",41.57882667,-71.72011597,273236.796421085,4606589.27262836,TRUE
"2","L1R2",41.57760885,-71.7202712,273219.590645881,4606454.45910858,TRUE
"3","L1R2",41.5776272,-71.72004927,273238.158166363,4606455.91319989,TRUE
"4","L1R2",41.57789133,-71.71999253,273243.813492515,4606485.0919272,TRUE
"5","L1R2",41.57790397,-71.72009593,273235.236869517,4606486.76722865,TRUE
"6","L1R2",41.5779525,-71.72002453,273241.359670215,4606491.96810351,TRUE
"7","L1R2",41.57751353,-71.72011757,273232.065744838,4606443.47130722,TRUE
"8","L1R2",41.57784983,-71.72000617,273242.530986798,4606480.51979756,TRUE
"9","L1R2",41.57885647,-71.72042167,273211.413690209,4606593.38516312,TRUE
"10","L1R2",41.578447,-71.72030577,273219.642936289,4606547.61463227,TRUE
"11","L1R2",41.57874773,-71.72036713,273215.580105598,4606581.16774159,TRUE
"12","L1R2",41.57861783,-71.72029217,273221.374928932,4606566.54712225,TRUE
"13","L1R2",41.57857173,-71.72028167,273222.088940054,4606561.40076824,TRUE
"14","L1R2",41.5778169,-71.72000247,273242.724189222,4606476.85366335,TRUE
"15","L1R2",41.5774477,-71.72000057,273241.590106912,4606435.8542615,TRUE
"16","L1R2",41.57742733,-71.71995427,273245.379041329,4606433.47075655,TRUE
"17","L1R2",41.57757363,-71.7197967,273259.028507834,4606449.30110932,TRUE
"18","L1R2",41.5775098,-71.7199312,273247.591196179,4606442.5672344,TRUE
"19","L1R2",41.57749443,-71.7199596,273245.169553495,4606440.93526729,TRUE
"20","L1R2",41.57756797,-71.71986877,273252.999898506,4606448.8620834,TRUE
"21","L1R2",41.57758867,-71.7198942,273250.952149846,4606451.227368,TRUE
"22","L1R2",41.57774483,-71.7195177,273282.889205583,4606467.57712662,TRUE
"23","L1R2",41.57748585,-71.7208722,273169.051896461,4606442.3818707,TRUE
"24","L1R2",41.5773524,-71.7208622,273169.418314825,4606427.53785087,TRUE
"25","L1R2",41.57757987,-71.7209204,273165.362498131,4606452.94819853,TRUE
"26","L1R2",41.5774773,-71.7208927,273167.312776428,4606441.48641999,TRUE
"27","L1R2",41.57720387,-71.7207152,273181.154294314,4606410.65918083,TRUE
"28","L1R2",41.577274,-71.72027887,273217.778807656,4606417.29894387,TRUE
"29","L1R2",41.57732403,-71.7204779,273201.359889624,4606423.37731994,TRUE
"30","L1R2",41.57724657,-71.7205837,273192.267611434,4606415.05465618,TRUE
"31","L1R2",41.57761635,-71.72095465,273162.63467731,4606457.08884692,TRUE
"32","L1R2",41.5773897,-71.72054905,273195.657717318,4606430.85610428,TRUE
"33","L1R2",41.57748573,-71.7207321,273180.732252144,4606442.00016115,TRUE
"34","L1R2",41.5774685,-71.72090127,273166.567439235,4606440.53184025,TRUE
"35","L1R2",41.57750575,-71.7208948,273167.237319941,4606444.65090998,TRUE
"36","L1R2",41.57741913,-71.7209365,273163.457259524,4606435.14264309,TRUE
"37","L1R2",41.57746707,-71.72085343,273170.551071606,4606440.24726296,TRUE
"38","L1R2",41.5775558,-71.72046455,273203.284457342,4606449.07698277,TRUE
"39","L1R2",41.5773096,-71.7207635,273177.497525721,4606422.52599251,TRUE
"40","L1R2",41.57731337,-71.7208832,273167.530765836,4606423.2593442,TRUE
"41","L1R2",41.5773825,-71.72080227,273174.520367008,4606430.72244348,TRUE
"42","L1R2",41.57739943,-71.72082233,273172.907156752,4606432.65502605,TRUE
"43","L1R2",41.57590343,-71.7204062,273202.363989738,4606265.45141015,TRUE
"44","L1R2",41.5757876,-71.7209412,273157.351885939,4606253.99681568,TRUE
"45","L1R2",41.5758535,-71.7207575,273172.898953319,4606260.83103788,TRUE
"46","L1R2",41.57593413,-71.72077017,273172.124910287,4606269.8171652,TRUE
"47","L1R2",41.5762109,-71.7204398,273200.639065742,4606299.67990991,TRUE
"48","L1R2",41.5773327,-71.7206073,273190.601553292,4606424.68021755,TRUE
"49","L1R2",41.57722823,-71.72047107,273201.593907461,4606412.72213597,TRUE
"50","L1R2",41.5781367,-71.71822953,273391.660331786,4606507.70393831,TRUE
"51","L1R2",41.5771344,-71.7192871,273299.978879499,4606399.19152813,TRUE
"52","L1R2",41.5774226,-71.71954857,273279.187571562,4606431.87920448,TRUE
"53","L1R2",41.57729253,-71.71965677,273269.711148254,4606417.72116276,TRUE
"54","L1R2",41.57736825,-71.7196826,273267.822624661,4606426.19668107,TRUE
"55","L1R2",41.5774362,-71.7198773,273251.827436982,4606434.25332153,TRUE
"56","L1R2",41.5773126,-71.71970113,273266.082894846,4606420.0662444,TRUE
"57","L1R2",41.5782783,-71.7206207,273192.795449815,4606529.71088551,TRUE
"58","L1R2",41.57836263,-71.72063633,273191.787616542,4606539.11562945,TRUE
"59","L1R2",41.57851205,-71.7208991,273170.402850572,4606556.39753101,TRUE
"60","L1R2",41.5784619,-71.72083793,273175.32716958,4606550.66823811,TRUE
"61","L1R2",41.5784852,-71.721009,273161.14609883,4606553.70521328,TRUE
"62","L1R2",41.5784782,-71.72090677,273169.644834382,4606552.659138,TRUE
"63","L1R2",41.57824743,-71.7206514,273190.127785459,4606526.36392998,TRUE
"64","L1R2",41.5784649,-71.7209041,273169.820864215,4606551.175341,TRUE
"65","L1R2",41.57839037,-71.720874,273172.069398281,4606542.82069407,TRUE
"66","L1R2",41.57734805,-71.7204922,273200.251734271,4606426.08199588,TRUE
"67","L1R2",41.57741543,-71.720871,273168.905341874,4606434.55957567,TRUE
"68","L1R2",41.5773447,-71.72081433,273173.382499234,4606426.55700224,TRUE
"69","L1R2",41.57745703,-71.72096563,273161.161282783,4606439.4274991,TRUE
"70","L1R2",41.5775302,-71.7201287,273231.196147305,4606445.35153196,TRUE
"71","L1R2",41.57730985,-71.72022395,273222.4832662,4606421.13519653,TRUE
"72","L1R2",41.57736173,-71.7203382,273213.139339971,4606427.19608863,TRUE
"73","L1R2",41.5771679,-71.7202943,273216.120862642,4606405.55861327,TRUE
"74","L1R2",41.5771986,-71.72034087,273212.345577358,4606409.08984266,TRUE
"75","L1R2",41.5771643,-71.7203452,273211.864472521,4606405.29269931,TRUE
"76","L1R2",41.57712947,-71.72035697,273210.761201623,4606401.45626684,TRUE
"77","L1R2",41.57707433,-71.7202558,273219.003202055,4606395.0677826,TRUE
"78","L1R2",41.57708697,-71.7204292,273204.590218503,4606396.92714255,TRUE
"79","L1R2",41.5775913,-71.72091803,273165.600123112,4606454.21110547,TRUE
"80","L1R2",41.5774507,-71.7209361,273163.601167097,4606438.64699085,TRUE
"81","L1R2",41.57748887,-71.7209782,273160.224769139,4606442.99593256,TRUE
"82","L1R2",41.57756017,-71.72082363,273173.361656188,4606450.5063356,TRUE
"83","L1R2",41.5770353,-71.72027,273217.682627842,4606390.77138724,TRUE
"84","L1R2",41.57740567,-71.72088097,273168.039917919,4606433.50208273,TRUE
"85","L1R2",41.57751453,-71.7210976,273150.359713314,4606446.15909376,TRUE
"86","L1R2",41.5775721,-71.72092637,273164.83754231,4606452.101149,TRUE
"87","L1R2",41.5775494,-71.7210079,273157.960525972,4606449.79502848,TRUE
"88","L1R2",41.5775739,-71.7208802,273168.693244124,4606452.17960736,TRUE
"89","L1R2",41.5773814,-71.7208648,273169.303095326,4606430.76472516,TRUE
"90","L1R2",41.57739093,-71.72088107,273167.979962254,4606431.8656783,TRUE
"91","L1R2",41.5774456,-71.72089657,273166.879105417,4606437.97676205,TRUE
"92","L1R2",41.57747107,-71.7208185,273173.477353201,4606440.59955843,TRUE
"93","L1R2",41.5778828,-71.72067525,273186.862502982,4606485.93966026,TRUE
"94","L1R2",41.5778816,-71.7208089,273175.71535925,4606486.15783546,TRUE
"95","L1R2",41.57779053,-71.72071107,273183.5529405,4606475.78857158,TRUE
"96","L1R2",41.57669655,-71.7193275,273295.078108535,4606350.68069387,TRUE
"97","L1R2",41.5785098,-71.7205007,273203.610869521,4606555.10016447,TRUE
"98","L1R2",41.5785225,-71.7206315,273192.75012118,4606556.85422205,TRUE
"99","L1R2",41.57843203,-71.7205735,273197.268979085,4606546.65631668,TRUE
"100","L1R2",41.57836103,-71.72057343,273197.026202638,4606538.77259149,TRUE
"101","L1R2",41.57835283,-71.7208111,273177.18212382,4606538.48701522,TRUE
"102","L1R2",41.5785318,-71.7208118,273177.750496767,4606558.36093192,TRUE
"103","L1R2",41.57847037,-71.72090903,273169.428989919,4606551.79567052,TRUE
"104","L1R2",41.5783196,-71.7208904,273170.454238672,4606535.00581529,TRUE
"105","L1R2",41.57848787,-71.72084243,273175.042935049,4606553.56367042,TRUE
"106","L1R2",41.57833163,-71.72091727,273168.256122451,4606536.41223197,TRUE
"107","L1R2",41.5784638,-71.72080965,273177.69162016,4606550.80484451,TRUE
"108","L1R2",41.5783877,-71.72078353,273179.602839299,4606542.28633938,TRUE
"109","L1R2",41.5782643,-71.7210191,273159.530401895,4606529.20396566,TRUE
"110","L1R2",41.57833865,-71.72084135,273174.610419848,4606536.99206938,TRUE
"111","L1R2",41.5784178,-71.7207963,273178.643567406,4606545.66209474,TRUE
"112","L1R2",41.57741283,-71.72056003,273194.823252987,4606433.45323044,TRUE
"113","L1R2",41.5774426,-71.7208241,273172.910758066,4606437.45309478,TRUE
"114","L1R4",41.5779732,-71.7213297,273132.614984443,4606497.698266,TRUE
"115","L1R4",41.5778202,-71.72041907,273208.002081733,4606478.31527125,TRUE
"116","L1R4",41.5776953,-71.72026027,273220.804600752,4606464.02941725,TRUE
"117","L1R4",41.57788377,-71.72134067,273131.387139991,4606487.79718583,TRUE
"118","L1R4",41.57785603,-71.72132043,273132.977471105,4606484.66382257,TRUE
"119","L1R4",41.57788573,-71.72124437,273139.422925863,4606487.76155428,TRUE
"120","L1R4",41.57786953,-71.72129657,273135.014060319,4606486.1000554,TRUE
"121","L1R4",41.57783797,-71.72127867,273136.395918611,4606482.54869029,TRUE
"122","L1R4",41.57785487,-71.72130183,273134.524166242,4606484.48610414,TRUE
"123","L1R4",41.5780033,-71.7211979,273143.709090281,4606500.69382284,TRUE
"124","L1R4",41.57785443,-71.7213623,273129.48099396,4606484.5962822,TRUE
"125","L1R4",41.5778558,-71.72123213,273140.338597426,4606484.40606345,TRUE
"126","L1R4",41.57787433,-71.72126123,273137.977311629,4606486.54008614,TRUE
"127","L1R4",41.57787833,-71.72122607,273140.922753249,4606486.89176283,TRUE
"128","L1R4",41.57775327,-71.72131413,273133.142810995,4606473.23721611,TRUE
"129","L1R4",41.5778608,-71.72123727,273139.927566641,4606484.97475992,TRUE
"130","L1R4",41.5777833,-71.7202163,273224.77866309,4606473.68497283,TRUE
"131","L1R4",41.5777439,-71.7212431,273139.032064272,4606472.01000832,TRUE
"132","L1R4",41.57761063,-71.72131333,273132.709915184,4606457.39696733,TRUE
"133","L1R4",41.57781633,-71.72117527,273144.941011311,4606479.87394827,TRUE
"134","L1R4",41.57786483,-71.72142137,273124.592513941,4606485.90640973,TRUE
"135","L1R4",41.57788827,-71.72162493,273107.702994806,4606489.04448154,TRUE
"136","L1R4",41.57794317,-71.7215776,273111.841394801,4606495.0158582,TRUE
"137","L1R4",41.577996,-71.7215055,273118.03770922,4606500.69224427,TRUE
"138","L1R4",41.5780771,-71.72147617,273120.767136917,4606509.62010592,TRUE
"139","L1R4",41.578042,-71.72152207,273116.817331557,4606505.84347228,TRUE
"140","L1R4",41.57803383,-71.7215297,273116.152571263,4606504.95637788,TRUE
"141","L1R4",41.57773607,-71.72118513,273143.837845207,4606470.98814588,TRUE
"142","L1R4",41.5777097,-71.7211732,273144.740143925,4606468.0287585,TRUE
"143","L1R4",41.57771523,-71.72117677,273144.461865572,4606468.65217482,TRUE
"144","L1R4",41.5777348,-71.7212442,273138.908480732,4606471.0024755,TRUE
"145","L1R4",41.57775893,-71.72135323,273129.902703411,4606473.96851022,TRUE
"146","L1R4",41.57782807,-71.7211899,273143.762365162,4606481.21598266,TRUE
"147","L1R4",41.5777863,-71.72124843,273138.736181895,4606476.73194301,TRUE
"148","L1R4",41.57778827,-71.72126493,273137.367407777,4606476.99407667,TRUE
"149","L1R4",41.57777733,-71.72123723,273139.638556154,4606475.70649738,TRUE
"150","L1R4",41.5777233,-71.72124497,273138.804004905,4606469.72758895,TRUE
"151","L1R4",41.57775093,-71.72122187,273140.826720907,4606472.73475788,TRUE
"152","L1R4",41.5780062,-71.7215193,273116.922877618,4606501.86110529,TRUE
"153","L1R4",41.57801853,-71.72151543,273117.288723791,4606503.21999799,TRUE
"154","L1R4",41.57804973,-71.72168613,273103.166095912,4606507.13329414,TRUE
"155","L1R4",41.57813273,-71.72186837,273088.262815504,4606516.82862884,TRUE
"156","L1R4",41.57813567,-71.72194357,273082.003410407,4606517.35288927,TRUE
"157","L1R4",41.57812997,-71.7219204,273083.915210938,4606516.65903544,TRUE
"158","L1R4",41.57806977,-71.72190757,273084.773998236,4606509.94093054,TRUE
"159","L1R4",41.5776882,-71.72036585,273211.977084612,4606463.51863029,TRUE
"160","L1R4",41.5778085,-71.72117463,273144.966947592,4606479.00285497,TRUE
"161","L1R4",41.57781507,-71.72120413,273142.530420735,4606479.8099399,TRUE
"162","L1R4",41.57779537,-71.7211312,273148.541902081,4606477.43074337,TRUE
"163","L1R4",41.57788113,-71.72125207,273138.764834534,4606487.27103973,TRUE
"164","L1R4",41.5779353,-71.72137363,273128.819619378,4606493.60554457,TRUE
"165","L1R4",41.57789943,-71.7212496,273139.034862779,4606489.29649888,TRUE
"166","L1R4",41.5780187,-71.72144947,273122.788660313,4606503.06539205,TRUE
"167","L1R4",41.5780291,-71.72154,273115.277252233,4606504.45826922,TRUE
"168","L1R4",41.578091,-71.72154463,273115.108055453,4606511.3435627,TRUE
"169","L1R4",41.57810867,-71.72144337,273123.612377472,4606513.0392391,TRUE
"170","L1R4",41.57806127,-71.72138057,273128.68222628,4606507.61097576,TRUE
"171","L1R4",41.57806817,-71.72139077,273127.855981336,4606508.40394891,TRUE
"172","L1R4",41.5780766,-71.72152217,273116.930190552,4606509.68557384,TRUE
"173","L1R4",41.5779218,-71.7208794,273169.978266924,4606490.80685314,TRUE
"174","L1R4",41.57796417,-71.7212007,273143.338595799,4606496.35635586,TRUE
"175","L1R4",41.5778611,-71.72131923,273133.095277735,4606485.22361809,TRUE
"176","L1R4",41.5778433,-71.72131817,273133.121309617,4606483.24439327,TRUE
"177","L1R4",41.577922,-71.72134233,273131.382641278,4606492.04644991,TRUE
"178","L1R4",41.5779169,-71.72135277,273130.49435365,4606491.50762434,TRUE
"179","L1R4",41.57786673,-71.72131053,273133.840351308,4606485.82586907,TRUE
"180","L1R4",41.57784907,-71.72128927,273135.551030463,4606483.80906467,TRUE
"181","L1R4",41.57792893,-71.72133203,273132.265666042,4606492.78883928,TRUE
"182","L1R4",41.57790397,-71.72131833,273133.320467031,4606489.98135551,TRUE
"183","L1R4",41.57792377,-71.7213233,273132.975448001,4606492.19293505,TRUE
"184","L1R4",41.5776904,-71.7207615,273178.99774777,4606464.8031585,TRUE
"185","L1R4",41.577881,-71.721318,273133.267527788,4606487.4299955,TRUE
"186","L1R4",41.57784077,-71.7213506,273130.408625981,4606483.04876246,TRUE
"187","L1R4",41.57787733,-71.7213687,273129.027608735,4606487.1558338,TRUE
"188","L1R4",41.57790143,-71.72141907,273124.912470957,4606489.96427062,TRUE
"189","L1R4",41.5778593,-71.7213271,273132.432819184,4606485.04445141,TRUE
"190","L1R4",41.5777469,-71.7212361,273139.626191074,4606472.32470658,TRUE
"191","L1R4",41.57776923,-71.7210817,273152.577375719,4606474.39809561,TRUE
"192","L1R4",41.5780929,-71.72130507,273135.087734194,4606510.92447482,TRUE
"193","L1R4",41.5780319,-71.72124817,273139.618053981,4606504.00164949,TRUE
"194","L1R4",41.57804853,-71.7213626,273130.135831017,4606506.14911859,TRUE
"195","L1R4",41.5781712,-71.7213421,273132.274653373,4606519.71596489,TRUE
"196","L1R4",41.5782451,-71.72149413,273119.858206485,4606528.32135672,TRUE
"197","L1R4",41.578093,-71.72139447,273127.634468336,4606511.17069879,TRUE
"198","L1R4",41.57807567,-71.72136163,273130.311763628,4606509.16007896,TRUE
"199","L1R4",41.57795363,-71.72139067,273127.463129468,4606495.68564606,TRUE
"200","L1R4",41.57796823,-71.72147407,273120.560880671,4606497.52611569,TRUE
"201","L1R4",41.5780061,-71.72141583,273125.549224256,4606501.57786577,TRUE
"202","L1R4",41.578055,-71.7212617,273138.570912218,4606506.60215871,TRUE
"203","L1R4",41.5781247,-71.72202727,273074.986596263,4606516.35500755,TRUE
"204","L1R4",41.57821777,-71.7223594,273047.621778745,4606527.5628774,TRUE
"205","L1R4",41.5784843,-71.7224888,273037.767166032,4606557.49770662,TRUE
"206","L1R4",41.57785397,-71.72250527,273034.185293394,4606487.55183947,TRUE
"207","L1R4",41.57760097,-71.72233487,273047.505775852,4606459.01145696,TRUE
"208","L1R4",41.57763137,-71.7223137,273049.377327188,4606462.33124865,TRUE
"209","L1R4",41.57757923,-71.72128477,273134.981111306,4606453.8353329,TRUE
"210","L1R4",41.57395233,-71.720961,273149.274203038,4606050.26831478,TRUE
"211","L1R4",41.57733407,-71.72208027,273067.797829518,4606428.70620021,TRUE
"212","L1R4",41.57754737,-71.72235007,273046.05067988,4606453.09992844,TRUE
"213","L1R4",41.57764893,-71.7223806,273043.861108639,4606464.45704734,TRUE
"214","L1R4",41.57746707,-71.72242037,273039.908089349,4606444.36871165,TRUE
"215","L1R4",41.5775553,-71.72243847,273038.708160775,4606454.21302159,TRUE
"216","L1R4",41.5775021,-71.7224331,273038.96947304,4606448.2917885,TRUE
"217","L1R4",41.57749527,-71.7225025,273033.159346659,4606447.71600941,TRUE
"218","L1R4",41.57750417,-71.72243563,273038.765788544,4606448.52828909,TRUE
"219","L1R4",41.57766433,-71.72238903,273043.212222437,4606466.18917781,TRUE
"220","L1R4",41.57826415,-71.72044685,273207.24039409,4606527.68264374,TRUE
"221","L1R4",41.57854395,-71.72125725,273140.65445388,4606560.88140857,TRUE
"222","L1R4",41.57847457,-71.72120963,273144.381688174,4606553.05251019,TRUE
"223","L1R4",41.57854663,-71.7213327,273134.373332834,4606561.37741303,TRUE
"224","L1R4",41.57840777,-71.72139443,273128.740327418,4606546.12133162,TRUE
"225","L1R4",41.57851567,-71.72140573,273128.176145635,4606558.13181393,TRUE
"226","L1R4",41.57856623,-71.7218179,273093.989319452,4606564.82989048,TRUE
"227","L1R4",41.5787964,-71.72327145,272973.608996376,4606594.21150576,TRUE
"228","L1R4",41.57877807,-71.72317803,272981.333445697,4606591.93035585,TRUE
"229","L1R4",41.57864093,-71.723168,272981.689006802,4606576.67650642,TRUE
"230","L1R4",41.5785138,-71.72332177,272968.423117879,4606562.96521752,TRUE
"231","L1R4",41.57852893,-71.72340387,272961.63120789,4606564.86127145,TRUE
"232","L1R4",41.5782009,-71.72342513,272958.708862312,4606528.49414682,TRUE
"233","L1R4",41.57575055,-71.72557065,272771.2333311,4606262.0667343,TRUE
"234","L1R4",41.57573417,-71.72575497,272755.807849919,4606260.73349091,TRUE
"235","L1R4",41.57609637,-71.72607797,272730.147906272,4606301.80156673,TRUE
"236","L1R4",41.57509027,-71.72726027,272628.040564155,4606193.20391573,TRUE
"237","L1R4",41.5750951,-71.72742197,272614.575343721,4606194.16641938,TRUE
"238","L1R4",41.57486447,-71.7279609,272568.830887119,4606169.97889504,TRUE
"239","L1R4",41.57453825,-71.7277432,272585.837058241,4606133.18288179,TRUE
"240","L1R4",41.57442527,-71.72753373,272602.905743041,4606120.08588666,TRUE
"241","L1R4",41.5745176,-71.72746173,272609.233095755,4606130.14803851,TRUE
"242","L1R4",41.57466033,-71.7270327,272645.505880523,4606144.86540522,TRUE
"243","L1R4",41.57466827,-71.7270908,272640.689471139,4606145.90015057,TRUE
"244","L1R4",41.57515737,-71.7262861,272709.500052213,4606198.08728606,TRUE
"245","L1R4",41.57568495,-71.7254625,272780.020430663,4606254.49791948,TRUE
"246","L1R4",41.5761384,-71.7251628,272806.598892499,4606304.05775749,TRUE
"247","L1R4",41.5762642,-71.7229356,272992.735506054,4606312.16279078,TRUE
"248","L1R4",41.57626687,-71.72296563,272990.241077246,4606312.53828062,TRUE
"249","L1R4",41.5761431,-71.72425065,272882.667090955,4606302.1777429,TRUE
"250","L1R4",41.57498317,-71.72452077,272856.078209491,4606174.09519559,TRUE
"251","L1R4",41.57501657,-71.7245692,272852.157338916,4606177.93130895,TRUE
"252","L1R4",41.5746909,-71.7246299,272845.95432333,4606141.93011448,TRUE
"253","L1R4",41.57454903,-71.72442767,272862.318457898,4606125.64499278,TRUE
"254","L1R4",41.57462723,-71.7244707,272859.004882602,4606134.44128608,TRUE
"255","L1R4",41.57458305,-71.72448185,272857.920303758,4606129.56508306,TRUE
"256","L1R4",41.57460973,-71.7244771,272858.409900393,4606132.51501097,TRUE
